ensemble,mIoU_majvote,accuracy_majvote,mIoU_oracle,accuracy_oracle
ensemble_1_2_5,0.449388325214386,0.7688776254653931,0.5793547630310059,0.8445760607719421
ensemble_1_3,0.386334091424942,0.7505782842636108,0.5270853638648987,0.820315957069397
ensemble_1_3_4,0.41639578342437744,0.757728099822998,0.5672934055328369,0.8457251787185669
ensemble_1_3_4_5,0.42702391743659973,0.7659682631492615,0.6051938533782959,0.861147403717041
ensemble_1_3_5,0.45098450779914856,0.7738144397735596,0.5775275230407715,0.8442665934562683
ensemble_1_4,0.33863765001296997,0.7145964503288269,0.5195785760879517,0.8194255232810974
ensemble_1_4_5,0.4433116316795349,0.7675246596336365,0.5746479630470276,0.8452410697937012
ensemble_1_5,0.42656880617141724,0.7647291421890259,0.5367621183395386,0.8208318948745728
ensemble_2,0.36030685901641846,0.6793439984321594,0.36030685901641846,0.6793439984321594
ensemble_2_3,0.333882600069046,0.6976097822189331,0.5021451711654663,0.807353138923645
ensemble_2_3_4,0.3847062587738037,0.7324596047401428,0.5510666370391846,0.8369469046592712
ensemble_2_3_4_5,0.40696367621421814,0.751646101474762,0.5996267199516296,0.8582798838615417
ensemble_2_3_5,0.42706817388534546,0.7587812542915344,0.5700011253356934,0.8411881923675537
ensemble_2_4,0.2947652041912079,0.6658468842506409,0.47250717878341675,0.7861514091491699
ensemble_2_4_5,0.40937840938568115,0.7421634793281555,0.5612176060676575,0.8371745347976685
ensemble_2_5,0.3677310645580292,0.7100192308425903,0.5164411067962646,0.8092772364616394
ensemble_3,0.38344576954841614,0.7410899996757507,0.38344576954841614,0.7410899996757507
ensemble_3_4,0.31271523237228394,0.7012621760368347,0.47175300121307373,0.8008183836936951
ensemble_3_4_5,0.4129258990287781,0.7548556923866272,0.5602151155471802,0.8407556414604187
ensemble_3_5,0.3825981020927429,0.7477599382400513,0.5205932855606079,0.8160415887832642
ensemble_4,0.3235095143318176,0.6808891296386719,0.3235095143318176,0.6808891296386719
ensemble_4_5,0.33521997928619385,0.7120026350021362,0.5168035626411438,0.8109413385391235
ensemble_5,0.44263601303100586,0.7663825154304504,0.44263601303100586,0.7663825154304504
